J-Date,Date,Weekday,Open,High,Low,Close
1391-03-15,2012-06-04,Monday,17680,17680,17680,17680
1391-03-16,2012-06-05,Tuesday,17700,17700,17700,17700
1391-03-17,2012-06-06,Wednesday,17850,17850,17850,17850
1391-03-19,2012-06-08,Friday,18250,18250,18250,18250
1391-03-20,2012-06-09,Saturday,18210,18210,18210,18210
1391-03-21,2012-06-10,Sunday,18150,18150,18150,18150
1391-03-22,2012-06-11,Monday,17900,17900,17900,17900
1391-03-23,2012-06-12,Tuesday,17600,17600,17600,17600
1391-03-24,2012-06-13,Wednesday,17800,17800,17800,17800
1391-03-26,2012-06-15,Friday,17850,17850,17850,17850
1391-03-27,2012-06-16,Saturday,18000,18000,18000,18000
1391-03-29,2012-06-18,Monday,18100,18100,18100,18100
1391-03-30,2012-06-19,Tuesday,18280,18280,18280,18280
1391-03-31,2012-06-20,Wednesday,18300,18300,18300,18300
1391-04-02,2012-06-22,Friday,18800,18800,18800,18800
1391-04-03,2012-06-23,Saturday,19050,19050,19050,19050
1391-04-04,2012-06-24,Sunday,18950,18950,18950,18950
1391-04-05,2012-06-25,Monday,19200,19200,19200,19200
1391-04-06,2012-06-26,Tuesday,19400,19400,19400,19400
1391-04-07,2012-06-27,Wednesday,20150,20150,20150,20150
1391-04-08,2012-06-28,Thursday,20150,20150,20150,20150
1391-04-09,2012-06-29,Friday,19800,20000,19520,19940
1391-04-10,2012-06-30,Saturday,19890,19890,19520,19530
1391-04-11,2012-07-01,Sunday,19460,19560,19280,19430
1391-04-12,2012-07-02,Monday,19410,19760,19400,19760
1391-04-13,2012-07-03,Tuesday,19800,19830,19610,19680
1391-04-16,2012-07-06,Friday,19580,19600,19410,19460
1391-04-17,2012-07-07,Saturday,19390,19390,19040,19100
1391-04-18,2012-07-08,Sunday,19020,19160,18810,19130
1391-04-19,2012-07-09,Monday,19200,19460,19200,19360
1391-04-20,2012-07-10,Tuesday,19330,19340,19100,19140
1391-04-21,2012-07-11,Wednesday,19170,19240,19150,19220
1391-04-23,2012-07-13,Friday,19350,19350,19150,19150
1391-04-24,2012-07-14,Saturday,19130,19130,19010,19020
1391-04-25,2012-07-15,Sunday,18900,19200,18900,19200
1391-04-26,2012-07-16,Monday,19280,19280,19090,19090
1391-04-27,2012-07-17,Tuesday,19040,19220,19030,19150
1391-04-28,2012-07-18,Wednesday,19140,19140,19080,19100
1391-04-30,2012-07-20,Friday,19080,19100,19030,19090
1391-04-31,2012-07-21,Saturday,19070,19080,18980,18990
1391-05-01,2012-07-22,Sunday,18960,19090,18960,19080
1391-05-02,2012-07-23,Monday,19100,19230,19100,19210
1391-05-03,2012-07-24,Tuesday,19200,19340,19200,19290
1391-05-04,2012-07-25,Wednesday,19350,19600,19350,19570
1391-05-06,2012-07-27,Friday,19600,19740,19600,19700
1391-05-07,2012-07-28,Saturday,19650,19650,19420,19470
1391-05-08,2012-07-29,Sunday,19500,19680,19500,19680
1391-05-09,2012-07-30,Monday,19710,19710,19630,19710
1391-05-10,2012-07-31,Tuesday,19820,20080,19800,20070
1391-05-11,2012-08-01,Wednesday,20080,20250,20080,20190
1391-05-13,2012-08-03,Friday,20070,20170,20020,20080
1391-05-14,2012-08-04,Saturday,20040,20480,20040,20440
1391-05-15,2012-08-05,Sunday,20700,21550,20700,21460
